Functions,X,Y,Z,3D index
success,-3.06E+00,1.34E+01,2.55E+00,0.00983
suffering,-3.50E+00,1.19E+01,2.99E+00,0.02164
suppression,-3.09E+00,1.26E+01,1.47E+00,-0.00016
sustained,-3.21E+00,1.22E+01,2.28E+00,0.00744
switch,-2.55E+00,1.23E+01,1.45E+00,-0.0003
switching,-1.86E+00,1.24E+01,1.31E+00,0.04951
syntactic,-1.12E+00,1.47E+01,1.22E+00,0.52186
tactile,-3.14E+00,1.08E+01,3.00E+00,0.43966
tapping,-2.77E+00,1.00E+01,1.51E+00,0.58005
target,-1.94E+00,1.14E+01,6.78E-01,0.40233
target_detection,-3.25E+00,1.26E+01,1.97E+00,-0.00026
taste,-3.39E+00,1.19E+01,3.28E+00,0.09653
theory_mind,-4.54E+00,1.36E+01,1.74E+00,0.53593
thinking,-4.28E+00,1.37E+01,1.82E+00,0.24104
thought,-3.51E+00,1.31E+01,2.13E+00,-0.00022
thoughts,-4.14E+00,1.35E+01,1.80E+00,0.18903
threatening,-2.30E+00,1.22E+01,4.95E+00,0.47675
time_task,-3.19E+00,1.20E+01,1.91E+00,-0.00022
timing,-3.07E+00,1.20E+01,1.76E+00,-0.0003
tom,-4.61E+00,1.36E+01,1.76E+00,0.4499
tone,2.28E+00,1.01E+01,2.35E+00,0.54669
tools,-3.40E+00,1.19E+01,1.26E+00,-0.00023
touch,-3.14E+00,1.08E+01,3.00E+00,0.3908
unfamiliar,-2.50E+00,1.37E+01,2.89E-01,0.31122
unpleasant,-2.57E+00,1.21E+01,4.67E+00,0.38544
valence,-1.93E+00,1.19E+01,5.91E+00,0.57006
value,-5.84E+00,1.17E+01,4.48E+00,0.55943
values,-5.00E+00,1.21E+01,3.67E+00,0.24745
verb,-1.30E+00,1.45E+01,1.28E+00,0.5397
verbal,-1.35E+00,1.28E+01,1.42E+00,0.27149
verbal_fluency,-1.77E+00,1.35E+01,1.44E+00,0.15794
verbal_working,-2.11E+00,1.29E+01,1.53E+00,0.00367
verbs,-1.24E+00,1.46E+01,1.30E+00,0.44868
video,-2.65E+00,1.24E+01,-6.94E-01,0.33199
video_clips,-2.69E+00,1.24E+01,-6.72E-01,0.31591
videos,-2.68E+00,1.24E+01,-7.07E-01,0.29746
viewing,-2.69E+00,1.27E+01,-5.52E-01,0.35277
violations,-3.46E+00,1.26E+01,1.68E+00,-0.00019
virtual,-3.27E+00,1.45E+01,2.79E+00,0.20137
vision,-2.65E+00,1.24E+01,-7.53E-01,0.41499
visual,-2.57E+00,1.28E+01,-6.49E-01,0.52448
visual_attention,-2.36E+00,1.18E+01,6.43E-01,0.15171
visual_auditory,2.15E+00,1.02E+01,2.38E+00,0.4397
visual_field,-2.93E+00,1.24E+01,-7.51E-02,0.23034
visual_information,-3.02E+00,1.21E+01,6.64E-01,0.04525
visual_motion,-2.64E+00,1.24E+01,-7.69E-01,0.49111
visual_perception,-2.75E+00,1.26E+01,-4.39E-01,0.34321
visual_stimuli,-2.85E+00,1.28E+01,3.77E-01,0.0372
visual_stimulus,-3.28E+00,1.24E+01,1.80E+00,-0.00027
visual_word,-1.83E+00,1.43E+01,7.61E-01,0.57593
visuo,-2.38E+00,1.17E+01,3.20E-01,0.30933
visuomotor,-2.72E+00,1.10E+01,1.08E+00,0.3914
visuospatial,-1.92E+00,1.15E+01,5.78E-01,0.43298
vocal,2.55E+00,9.97E+00,2.52E+00,0.59993
voice,2.52E+00,1.00E+01,2.48E+00,0.64511
wm,-1.38E+00,1.23E+01,1.50E+00,0.37235
wm_task,-1.62E+00,1.22E+01,1.41E+00,0.19773
word,-1.12E+00,1.47E+01,9.57E-01,0.79399
word_form,-1.90E+00,1.43E+01,7.88E-01,0.55762
word_pairs,-3.27E+00,1.33E+01,2.30E+00,-0.00028
word_recognition,-2.13E+00,1.42E+01,9.25E-01,0.30991
words,-1.08E+00,1.48E+01,9.84E-01,0.75166
working_memory,-1.17E+00,1.23E+01,1.33E+00,0.49715
written,-1.88E+00,1.43E+01,8.62E-01,0.46378
